rate,detector_count,q_size,throughput,avg_latency,p99_latency,model_name
6.0,2,1000,5.840980997442108,0.11874686121940613,1.7452729392051696,
6.5,2,1000,6.314639241306613,0.12276633715629577,1.7730671644210803,
7.0,2,1000,6.78196715605243,0.13107175254821776,1.948877630233764,
7.5,2,1000,7.255427036690037,0.14127628231048583,2.021429359912872,
8.0,2,1000,7.713681410409117,0.14932963728904725,2.0640248489379878,
8.5,2,1000,8.176267472057063,0.1553307933807373,2.0731981563568107,
9.0,2,1000,8.643153200621201,0.18382693028450012,2.3054265499114988,
9.5,2,1000,9.08388712151676,0.20689631390571595,2.4133267998695374,
10.0,2,1000,9.554739299370222,0.22358506035804748,2.3325911116600033,
10.5,2,1000,9.994496253027778,0.2870055890083313,2.4715512013435363,
11.0,2,1000,10.471698942989569,0.3640925064086914,2.6329938316345216,
11.5,2,1000,10.89573971865727,0.44520282793045046,2.4274550175666807,
12.0,2,1000,11.343861864863173,0.8960994601249694,2.653535051345825,
12.5,2,1000,11.745959998372264,1.7093307769298554,2.6152363419532776,
13.0,2,1000,11.761551749174357,3.2848814573287966,3.7406230545043946,
13.5,2,1000,11.693224588093223,5.082142685651779,7.122100574970245,
14.0,2,1000,11.716099964408151,6.180101860523224,9.494876484870911,
14.5,2,1000,11.667857541990713,7.728778774261475,12.325456657409667,
15.0,2,1000,11.692834093757115,8.57311029458046,14.112056722640991,
15.5,2,1000,11.703465729606034,9.827182168722153,16.431163949966432,
16.0,2,1000,11.664852831013947,10.990592517852782,18.762807230949402,
16.5,2,1000,11.640233789333777,11.862656249046326,20.64687959909439,
17.0,2,1000,11.663509590319471,12.772473924160003,22.300160524845122,
17.5,2,1000,11.650952507028947,13.79440254354477,24.110785377025604,
18.0,2,1000,11.661215475997084,14.367951165437699,25.44646622657776,
18.5,2,1000,11.654454670766595,15.21324528503418,27.0777751493454,
19.0,2,1000,11.65943278263213,15.84302386522293,28.388706176280976,
19.5,2,1000,11.641194573212934,16.525112286806106,29.827562651634217,
20.0,2,1000,11.629876616839816,17.214609818935394,30.958806784152983,
1.0,4,1000,0.9935248489718659,0.088818035364151,0.10357111930847168,
1.5,4,1000,1.4855634548879628,0.08999139213562012,0.1060256576538086,
2.0,4,1000,1.975405200572625,0.09217528963088989,0.10933346033096313,
2.5,4,1000,2.461434716257857,0.09076817107200623,0.1309720230102539,
3.0,4,1000,2.9458162431485517,0.0972704997062683,0.12538803339004506,
3.5,4,1000,3.4276242727090485,0.0983602557182312,0.23106588363647004,
4.0,4,1000,3.906152428207661,0.10585017132759095,1.0657400059700004,
4.5,4,1000,4.38205396541274,0.10628841066360474,1.1171039938926695,
5.0,4,1000,4.8556374113647465,0.1110956072807312,1.4714968371391293,
5.5,4,1000,5.331220069184993,0.11997699046134949,1.831322174072264,
6.0,4,1000,5.795202334758411,0.13271700143814086,2.1191934633254994,
6.5,4,1000,6.255393786185908,0.12636566066741944,1.7336307048797606,
7.0,4,1000,6.715794635823274,0.14146939396858216,2.0688636589050287,
7.5,4,1000,7.169366259616854,0.15208997297286989,2.1892116808891293,
8.0,4,1000,7.628132151350021,0.16908436131477356,2.4002785181999204,
8.5,4,1000,8.091262298873833,0.20142010021209716,2.7737948179244993,
9.0,4,1000,8.526555942610461,0.1994658477306366,2.515697486400604,
9.5,4,1000,8.990833559934934,0.2510452172756195,2.8216536140441892,
10.0,4,1000,9.428378373089737,0.2616982662677765,2.6055799674987794,
10.5,4,1000,9.872615512180568,0.34702324199676515,2.9862117338180543,
11.0,4,1000,10.294837730300078,0.3796450638771057,2.688737277984619,
11.5,4,1000,10.75781102887129,0.5480097439289093,2.8513465619087217,
12.0,4,1000,11.16554732846932,0.816084032535553,2.8077003526687623,
12.5,4,1000,11.558554555560747,1.8993141479492188,2.991864728927612,
13.0,4,1000,11.587448259708683,3.322991740703583,3.74032000541687,
13.5,4,1000,11.61872467372933,4.66857560133934,6.245426371097564,
14.0,4,1000,11.572390452031824,6.080029151916504,9.159172308444976,
14.5,4,1000,11.591977709043062,7.325904738903046,11.538131990432738,
15.0,4,1000,11.581297050631116,8.693433512926102,13.87745364189148,
15.5,4,1000,11.551445857210627,9.923798788309098,16.393609757423402,
16.0,4,1000,11.580667017731848,10.855298999786378,18.1259516620636,
16.5,4,1000,11.529162778192704,11.834166845560073,20.17232014417648,
17.0,4,1000,11.570440202016279,12.6001818151474,21.69378736257553,
17.5,4,1000,11.552358406913365,13.397480495929718,23.368120806217192,
18.0,4,1000,11.558143255430958,14.376052582025528,25.119611432552336,
18.5,4,1000,11.550934857991756,15.098207782030105,26.498863291740417,
19.0,4,1000,11.557358671649498,15.676108649253845,27.754476993083955,
19.5,4,1000,11.54397332162594,16.528687175512314,29.31790869474411,
20.0,4,1000,11.556769802185723,16.890293412446976,30.217948389053344,
1.0,8,1000,0.9908518508336245,0.09101690793037415,0.11094928503036479,
1.5,8,1000,1.4448930882447726,0.09357778239250183,0.2754570817947387,
2.0,8,1000,1.9643145830108644,0.09746834015846252,0.2614964175224302,
2.5,8,1000,2.4450334739616713,0.10044550156593322,0.29864163160324064,
3.0,8,1000,2.922593068035049,0.10657844686508179,0.6352828884124736,
3.5,8,1000,3.3952236420136916,0.10964738869667054,1.1005760216712939,
4.0,8,1000,3.8635994628394235,0.11654076933860778,1.8880084919929505,
4.5,8,1000,4.323354444046556,0.1201114001274109,1.848987956047058,
5.0,8,1000,4.791741037374422,0.12907526564598085,1.9044799876213054,
5.5,8,1000,5.251088238580136,0.13462720704078673,2.2910973811149598,
6.0,8,1000,5.698982893874366,0.14534555625915527,2.3204211163520796,
6.5,8,1000,6.146273914271669,0.15621536350250245,2.552770173549651,
7.0,8,1000,6.598103693938766,0.16174661803245544,2.694750175476074,
7.5,8,1000,7.0347820961509635,0.1941286566257477,3.067803950309753,
8.0,8,1000,7.459365468595805,0.18413779950141906,2.5496974158287045,
