unix,cpu_freq_current,cpu_freq_min,cpu_freq_max,memory_available,memory_total,disk_free,disk_total,net_speed,net_speed_used,net_byte_recv,net_byte_sent,net_util,gpu_util,gpu_memory_util,gpu_memory_total,gpu_memory_used
1668551570.4965422,1929648.7499999998,800,3000,192241795072,201420431360,457592741888,499999834112,25000000000,40817883.98838918,841761075286,36699323581288,0.163271535953556,96,64,23040,2534
1668551571.5183146,1814421.7500000002,800,3000,192239136768,201420431360,457592741888,499999834112,25000000000,36053908.43759322,841763377192,36699325884243,0.14421563375037202,98,67,23040,2582
1668551572.4999578,1972646.0749999995,800,3000,192237752320,201420431360,457592741888,499999834112,25000000000,40602956.35239124,841765867839,36699328375798,0.162411825409564,96,66,23040,2628
1668551573.5213568,1989608.2499999998,800,3000,192238628864,201420431360,457592741888,499999834112,25000000000,34229889.86290662,841768052262,36699330561672,0.136919559451626,98,67,23040,2628
1668551574.5014672,1952784.5750000002,800,3000,192237686784,201420431360,457592741888,499999834112,25000000000,42707972.19002739,841770658840,36699333187410,0.17083188876010902,95,64,23040,2628
1668551575.5051575,1941723.050000001,800,3000,192168947712,201420431360,457592741888,499999834112,25000000000,43073073.90057158,841773360371,36699335889882,0.172292295602286,95,66,23040,2628
1668551576.503644,1953088.3250000002,800,3000,192235433984,201420431360,457592741888,499999834112,25000000000,30099707.339381788,841775238706,36699337768316,0.120398829357527,93,64,23040,2628
1668551577.5233157,2142855.7750000004,800,3000,192222089216,201420431360,457592741888,499999834112,25000000000,38872316.28972321,841777715564,36699340246083,0.155489265158892,95,61,23040,2628
1668551578.5077863,1942692.8,800,3000,192233504768,201420431360,457592741888,499999834112,25000000000,38949429.035399616,841780111572,36699342643146,0.155797716141598,98,65,23040,2628
1668551579.5087652,1916726.625,800,3000,192230776832,201420431360,457592741888,499999834112,25000000000,52671821.095304176,841783396639,36699345948502,0.210687284381216,96,66,23040,2676
1668551580.5287724,1725685,800,3000,192229502976,201420431360,457592741888,499999834112,25000000000,39912756.159801036,841785940861,36699348493192,0.15965102463920403,99,67,23040,2676
1668551581.5109909,1915723.0999999999,800,3000,192229572608,201420431360,457592741888,499999834112,25000000000,41090905.77871182,841788462652,36699351016432,0.164363623114847,99,68,23040,2676
1668551582.509358,1905854.9749999996,800,3000,192230162432,201420431360,457592741888,499999834112,25000000000,37048369.35109464,841790774470,36699353328098,0.14819347740437802,99,67,23040,2676
1668551583.5103135,1874133.075000001,800,3000,192229535744,201420431360,457592741888,499999834112,25000000000,34916074.83906865,841792958287,36699355512961,0.139664299356274,98,63,23040,2676
1668551584.5112176,1895383.9000000001,800,3000,192229945344,201420431360,457592741888,499999834112,25000000000,35547685.93250273,841795172802,36699357745924,0.14219074373001,98,65,23040,2676
1668551585.5334656,2165445.9999999995,800,3000,192229924864,201420431360,457592741888,499999834112,25000000000,37607616.62798117,841797575405,36699360148860,0.15043046651192402,98,66,23040,2676
1668551586.513624,1909478.0000000002,800,3000,192230731776,201420431360,457592741888,499999834112,25000000000,35220791.354054235,841799732487,36699362307022,0.140883165416216,99,68,23040,2676
1668551587.5370915,1781442.4499999997,800,3000,192230547456,201420431360,457592741888,499999834112,25000000000,33945971.53012509,841801903520,36699364478814,0.13578388612050002,99,67,23040,2676
1668551588.515192,1912685.65,800,3000,192232222720,201420431360,457592741888,499999834112,25000000000,42049975.83727776,841804473315,36699367050157,0.168199903349111,99,66,23040,2676
1668551589.536092,1806955.9750000003,800,3000,192231288832,201420431360,457592741888,499999834112,25000000000,39550349.26287534,841806987170,36699369583421,0.15820139705150102,98,63,23040,2676
1668551590.5190222,1930159.9499999997,800,3000,192231628800,201420431360,457592741888,499999834112,25000000000,37588232.23008566,841809295748,36699371893169,0.15035292892034202,98,66,23040,2676
1668551591.540889,2156972,800,3000,192231432192,201420431360,457592741888,499999834112,25000000000,38044559.29171772,841811726052,36699374322424,0.15217823716687,99,67,23040,2676
1668551592.5222747,1901022.15,800,3000,192232669184,201420431360,457592741888,499999834112,25000000000,45375431.53885959,841814508709,36699377106117,0.18150172615543803,99,66,23040,2676
1668551593.5441349,2051259.575,800,3000,192232898560,201420431360,457592741888,499999834112,25000000000,46503828.601647414,841817478354,36699380076523,0.18601531440658903,99,68,23040,2676
1668551594.5220206,1899832.7749999997,800,3000,192204464128,201420431360,457592741888,499999834112,25000000000,42036879.18573613,841820037835,36699382655450,0.168147516742944,99,65,23040,2676
1668551595.5242875,1928730.1249999993,800,3000,192230469632,201420431360,457592741888,499999834112,25000000000,44262869.216613874,841822810334,36699385428352,0.177051476866455,98,65,23040,2676
1668551596.5236592,1899355.3999999997,800,3000,192230903808,201420431360,457592741888,499999834112,25000000000,37899505.71850592,841825177385,36699387795763,0.15159802287402302,99,68,23040,2676
1668551597.5444396,2049136.45,800,3000,192229220352,201420431360,457592741888,499999834112,25000000000,44933789.25860436,841828043360,36699390663229,0.179735157034417,99,68,23040,2676
1668551598.5255632,1898976.2999999998,800,3000,192228421632,201420431360,457592741888,499999834112,25000000000,43687596.80227531,841830721812,36699393342644,0.17475038720910102,99,67,23040,2676
1668551599.5481145,2139591.5499999993,800,3000,192228958208,201420431360,457592741888,499999834112,25000000000,39820218.38318204,841833257014,36699395897219,0.15928087353272802,99,67,23040,2676
1668551600.527729,1893428.6749999998,800,3000,192229527552,201420431360,457592741888,499999834112,25000000000,40978421.771466665,841835765489,36699398406626,0.163913687085866,99,65,23040,2676
1668551601.5288806,1913321.9250000003,800,3000,192230039552,201420431360,457592741888,499999834112,25000000000,46046502.60946947,841838646124,36699401288432,0.18418601043787702,98,64,23040,2676
1668551602.5316634,1878608.0750000002,800,3000,192230313984,201420431360,457592741888,499999834112,25000000000,37323192.212467216,841840985446,36699403627492,0.149292768849868,98,66,23040,2676
1668551603.5308459,1919833.625,800,3000,192229335040,201420431360,457592741888,499999834112,25000000000,38924109.912023626,841843415671,36699406058803,0.15569643964809401,99,68,23040,2676
1668551604.5524411,1962939.0500000003,800,3000,192229232640,201420431360,457592741888,499999834112,25000000000,40477181.5641984,841845990304,36699408653082,0.161908726256793,99,68,23040,2676
1668551605.535513,1933495.4,800,3000,192229588992,201420431360,457592741888,499999834112,25000000000,89004648.12420724,841851458108,36699414122523,0.35601859249682904,99,67,23040,2676
1668551606.5335343,1921378.0250000004,800,3000,192230428672,201420431360,457592741888,499999834112,25000000000,36841584.07673952,841853755971,36699416420746,0.147366336306958,99,67,23040,2676
1668551607.5566537,2098453.5749999997,800,3000,192229904384,201420431360,457592741888,499999834112,25000000000,40097472.50471911,841856320130,36699418984650,0.16038989001887602,99,64,23040,2676
1668551608.536014,1905052.0499999996,800,3000,192230633472,201420431360,457592741888,499999834112,25000000000,41794398.081644505,841858877926,36699421543326,0.167177592326578,98,65,23040,2676
